system,split,beam_size,normalization,weight_token_logprob_avg,weight_summac_style_score,weight_factcc_style_score,weight_entity_support_score,rouge1,rouge2,rougeL,rougeLsum,summac_style_score,factcc_style_score,entity_support_score,factuality_composite,summary_len_tokens
custom_0119,val_tune,8,zscore,0.0,1.0,0.75,1.0,0.465574,0.23286,0.378092,0.378092,0.271868,0.396651,0.663583,0.444034,23.890625
custom_0032,val_tune,8,zscore,0.0,0.25,0.25,0.5,0.467856,0.235561,0.380531,0.380531,0.270465,0.397626,0.663992,0.444028,23.96875
custom_0064,val_tune,8,zscore,0.0,0.5,0.5,1.0,0.467856,0.235561,0.380531,0.380531,0.270465,0.397626,0.663992,0.444028,23.96875
custom_0187,val_tune,8,zscore,0.25,0.5,0.5,0.5,0.466557,0.23257,0.379204,0.379204,0.265739,0.406139,0.660099,0.443993,24.15625
custom_0374,val_tune,8,zscore,0.5,1.0,1.0,1.0,0.466557,0.23257,0.379204,0.379204,0.265739,0.406139,0.660099,0.443993,24.15625
custom_0063,val_tune,8,zscore,0.0,0.5,0.5,0.75,0.46825,0.235739,0.380768,0.380768,0.271402,0.396571,0.6639,0.443958,23.921875
custom_0212,val_tune,8,zscore,0.25,0.75,0.5,0.5,0.464441,0.232419,0.377732,0.377732,0.272812,0.398375,0.660255,0.443814,24.15625
custom_0242,val_tune,8,zscore,0.25,1.0,0.75,0.5,0.464441,0.232419,0.377732,0.377732,0.272812,0.398375,0.660255,0.443814,24.15625
custom_0243,val_tune,8,zscore,0.25,1.0,0.75,0.75,0.464441,0.232419,0.377732,0.377732,0.272812,0.398375,0.660255,0.443814,24.15625
custom_0197,val_tune,8,zscore,0.25,0.5,1.0,0.5,0.46413,0.231263,0.37702,0.37702,0.251415,0.421681,0.658224,0.443773,24.0625
custom_0038,val_tune,8,zscore,0.0,0.25,0.5,0.75,0.464041,0.227898,0.374853,0.374853,0.256479,0.410974,0.6636,0.443684,24.171875
custom_0198,val_tune,8,zscore,0.25,0.5,1.0,0.75,0.465966,0.231154,0.37816,0.37816,0.250963,0.421681,0.658367,0.44367,24.09375
custom_0373,val_tune,8,zscore,0.5,1.0,1.0,0.75,0.465284,0.232599,0.378229,0.378229,0.26523,0.406086,0.659684,0.443667,24.203125
custom_0236,val_tune,8,zscore,0.25,1.0,0.5,0.25,0.464771,0.232821,0.378122,0.378122,0.272812,0.398343,0.659835,0.443663,24.125
custom_0349,val_tune,8,zscore,0.5,0.75,1.0,1.0,0.466823,0.229998,0.380094,0.380094,0.262878,0.407271,0.660536,0.443562,24.265625
